target_index,target,basis_index,basis,coefficient,nonzero,grid_validation_points,independent_probe_points,validation
27,"(0, 1, 0, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(D - 2)/(2*(D - 3)),1,91,3,exact
27,"(0, 1, 0, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-1/(D - 3),1,91,3,exact
28,"(0, 1, 0, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)**2/(z*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
28,"(0, 1, 0, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",2*(D - 2)/((D - 4)*(z - 4)),1,91,3,exact
28,"(0, 1, 0, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",2*(D - 3)/((D - 4)*(z - 4)),1,91,3,exact
28,"(0, 1, 0, 1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",2*(3*D - 8)/(z*(D - 4)*(z - 4)),1,91,3,exact
28,"(0, 1, 0, 1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",4*(z + 2)/(z*(D - 4)*(z - 4)),1,91,3,exact
29,"(0, 1, 1, -1, 1, 0, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)/(2*(3*D - 8)),1,91,3,exact
29,"(0, 1, 1, -1, 1, 0, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(D - 3)/(D - 2),1,91,3,exact
29,"(0, 1, 1, -1, 1, 0, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",2*(2*D*z + 2*D - 5*z - 6)/((D - 2)*(3*D - 8)),1,91,3,exact
29,"(0, 1, 1, -1, 1, 0, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",-(D - 3)/(D - 2),1,91,3,exact
29,"(0, 1, 1, -1, 1, 0, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-2*(D - 3)*(3*D*z - 2*D - 8*z + 6)/((D - 2)*(3*D - 8)),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)*(D**2*z - 5*D*z - 4*D + 5*z + 16)/(4*(D - 4)*(D - 3)**2*(z - 4)),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",z*(D - 2)/(4*(D - 4)*(z - 4)),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",z*(D - 3)/((D - 4)*(z - 4)),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(3*D - 8)/(2*(D - 2)),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(z + 2)/(D - 2),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",-(D - 4)*(3*D - 8)/(4*(D - 3)*(D - 2)),1,91,3,exact
30,"(0, 1, 1, -1, 1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-(3*D*z - 2*D - 10*z + 8)/(2*(D - 2)),1,91,3,exact
31,"(0, 1, 1, 0, 0, 0, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",1,1,91,3,exact
33,"(0, 1, 1, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)**2/(4*(D - 3)**2),1,91,3,exact
33,"(0, 1, 1, 0, 0, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",(3*D - 8)/(4*(D - 3)),1,91,3,exact
34,"(0, 1, 1, 0, 1, -1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)**2/(2*(D - 3)*(3*D - 8)),1,91,3,exact
34,"(0, 1, 1, 0, 1, -1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",1,1,91,3,exact
34,"(0, 1, 1, 0, 1, -1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-2*(z - 2)/(3*D - 8),1,91,3,exact
34,"(0, 1, 1, 0, 1, -1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",4*(D - 3)/(3*D - 8),1,91,3,exact
35,"(0, 1, 1, 0, 1, 0, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",1,1,91,3,exact
37,"(0, 1, 1, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)**2/(4*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
37,"(0, 1, 1, 0, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)**2/(4*(D - 4)*(2*D - 7)*(z - 4)),1,91,3,exact
37,"(0, 1, 1, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(D - 2)/((D - 4)*(z - 4)),1,91,3,exact
37,"(0, 1, 1, 0, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-(3*D - 8)/(2*(2*D - 7)*(z - 4)),1,91,3,exact
37,"(0, 1, 1, 0, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z + 2)/((2*D - 7)*(z - 4)),1,91,3,exact
37,"(0, 1, 1, 0, 1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",(3*D - 10)/(2*(2*D - 7)),1,91,3,exact
38,"(0, 1, 1, 1, -1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)**2*(2*D - 7)/(4*(D - 4)*(D - 3)**2),1,91,3,exact
38,"(0, 1, 1, 1, -1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)**2*(5*D*z - 8*D - 18*z + 28)/(4*(D - 4)*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
38,"(0, 1, 1, 1, -1, 1, 1)",3,"(0, 0, 0, 0, 2, 0, 3)",-4/((D - 4)**2*(D - 3)),1,91,3,exact
38,"(0, 1, 1, 1, -1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(3*D - 8)*(D*z + 8*D - 4*z - 28)/(2*(D - 4)*(2*D - 7)*(z - 4)),1,91,3,exact
