D,z,target_index,basis_index,coeff
6,3,11,6,2119/30
6,3,11,7,10/3
6,3,11,8,37/5
6,3,11,9,-48/5
6,3,11,10,41
6,3,11,11,11
6,3,12,7,1
6,3,12,9,-3/5
6,3,13,0,-1/3
6,3,13,1,16/15
6,3,13,2,2/3
6,3,13,3,-1/6
6,3,13,5,-13/2
6,3,13,6,-37/6
6,3,13,8,-1/5
6,3,13,9,1
6,3,13,10,-13/3
6,3,13,11,-1
6,3,14,0,-2/27
6,3,14,1,-32/45
6,3,14,2,-10/3
6,3,14,3,1/9
6,3,14,4,-4
6,3,14,5,29/9
6,3,14,6,29/9
6,3,14,8,4/5
6,3,14,10,2/3
6,3,14,11,2/3
6,3,15,0,-11/9
6,3,15,1,-7/9
6,3,15,2,-8/3
6,3,15,4,3/2
6,3,16,2,1
6,3,17,4,1
6,3,18,0,-2/3
6,3,19,1,-2/3
6,3,20,0,-1
6,3,20,1,-1
6,3,20,2,-3
6,3,21,2,-2/3
6,3,22,2,-2
6,3,22,4,-3
6,3,23,0,-1/6
6,3,23,2,3/2
6,3,23,5,-7/4
6,3,23,6,-1/4
6,3,24,0,-2/3
6,3,25,5,1
6,3,27,2,-2/3
6,3,27,6,-1/3
6,3,28,0,-8/9
6,3,28,2,-4
6,3,28,4,-3
6,3,28,5,-10/3
6,3,28,6,-10/3
6,3,29,1,-1/5
6,3,29,5,3/4
6,3,29,6,27/20
6,3,29,7,-3/4
6,3,29,8,-18/5
6,3,30,0,-25/18
6,3,30,1,-3/2
6,3,30,2,-9/2
6,3,30,5,5/4
6,3,30,6,5/4
6,3,30,7,-5/12
6,3,30,8,-5/2
6,3,31,7,1
6,3,33,0,4/9
6,3,33,7,5/6
6,3,34,1,-4/15
6,3,34,5,1
6,3,34,6,-1/5
6,3,34,8,6/5
6,3,35,8,1
6,3,37,0,2/3
6,3,37,1,2/5
6,3,37,2,2
6,3,37,5,1
6,3,37,6,1
6,3,37,8,4/5
6,3,38,0,-10/9
6,3,38,1,32/15
6,3,38,3,-1/3
6,3,38,5,-13
6,3,38,6,-13
6,3,38,7,-5/6
6,3,38,8,-7/5
6,3,38,9,1
6,3,38,10,-7
6,3,38,11,-2
6,3,39,9,1
