D,z,target_index,basis_index,coeff
13,3,31,7,1
13,3,33,0,121/400
13,3,33,7,31/40
13,3,34,1,-121/620
13,3,34,5,1
13,3,34,6,-2/31
13,3,34,8,40/31
13,3,35,8,1
13,3,37,0,121/360
13,3,37,1,121/684
13,3,37,2,11/9
13,3,37,5,31/38
13,3,37,6,5/19
13,3,37,8,29/38
13,3,38,0,-2299/3600
13,3,38,1,1573/1368
13,3,38,3,-2/405
13,3,38,5,-3193/342
13,3,38,6,-515/171
13,3,38,7,-31/40
13,3,38,8,-49/38
13,3,38,9,1
13,3,38,10,-42/5
13,3,38,11,-3/5
13,3,39,9,1
